image_filename,product_name,description,brand,color,size,price,season
기타하의_0001.jpg,와이드 밴딩 카고 팬츠,"허리 밴딩으로 착용감이 편안하며, 와이드 핏과 카고 포켓 디자인이 스트릿 스타일을 연출하기 좋은 검은색 팬츠입니다.",스튜디오 베이직,블랙,"S, M, L",79000,"봄, 가을"
기타하의_0002.jpg,새터 코듀로이 카고 팬츠,"따뜻한 코듀로이 소재를 사용하여 보온성이 좋고, 넉넉한 카고 포켓이 실용적이면서도 빈티지한 무드를 더해주는 검은색 팬츠입니다.",새터,블랙,"M, L",128000,"가을, 겨울"
기타하의_0003.jpg,로우라이즈 골지 와이드 팬츠,"부드러운 골지 원단이 몸에 편안하게 밀착되며, 로우라이즈 디자인과 와이드 핏이 다리를 길어 보이게 하는 세련된 라운지웨어 팬츠입니다.",벨벳 뮤즈,블랙,"S, M, L",65000,"봄, 가을, 겨울"
기타하의_0004.jpg,나일론 테크 카고 팬츠,"가벼운 나일론 소재와 절개 디테일이 특징인 테크웨어 스타일의 카고 팬츠로, 활동성이 좋고 아웃도어 룩에도 잘 어울립니다.",테크 스탠다드,카키 그린,"M, L",145000,"봄, 가을"
기타하의_0005.jpg,스트라이프 부클 니트 팬츠,"푹신하고 따뜻한 부클 니트 소재로 제작되어 한겨울에도 포근하며, 브라운 스트라이프 패턴이 귀여운 포인트를 주는 와이드 팬츠입니다.",코지 윈터,브라운 스트라이프,"S, M, L",89000,겨울
기타하의_0006.jpg,와이드 스웨트 팬츠,"탄탄한 면 소재의 스웨트 팬츠로, 허리 스트링과 와이드 핏 디자인 덕분에 체형에 구애받지 않고 편안하게 데일리로 입기 좋습니다.",데일리 스탠다드,멜란지 그레이,"S, M, L",58000,"봄, 가을, 겨울"
기타하의_0007.jpg,(셋업) 와이드 스웨트 팬츠,"부드러운 파스텔톤의 하늘색이 돋보이는 와이드 스웨트 팬츠로, 같은 색상의 후드 집업과 셋업으로 착용하여 원마일웨어로 연출하기 좋습니다.",엔젤 블루,스카이 블루,"S, M",72000,"봄, 가을"
기타하의_0008.jpg,(2-way) 컨버터블 카고 팬츠,"무릎 부분의 지퍼를 열어 반바지로도 활용 가능한 2-way 컨버터블 팬츠로, 가벼운 나일론 소재와 카고 포켓이 아웃도어 활동에 최적화된 디자인입니다.",아웃도어 서플라이,베이지,"M, L",119000,"봄, 여름, 가을"
기타하의_0009.jpg,캐시미어 니트 팬츠 셋업,"고급스러운 캐시미어 혼방 소재로 만들어져 매우 부드럽고 따뜻하며, 후드 집업과 세트로 구성되어 편안하면서도 고급스러운 라운지룩을 완성합니다.",뉴욕 플래닛,블랙,"S, M, L",218000,"가을, 겨울"
기타하의_0010.jpg,와이드 울 니트 팬츠,"도톰한 울 혼방 니트 소재로 보온성을 높인 와이드 팬츠로, 차콜 색상이 차분하면서도 세련된 느낌을 주어 겨울철 데일리룩으로 적합합니다.",모노 무드,차콜,"S, M",135000,"가을, 겨울"
기타하의_0011.jpg,스트라이프 니트 와이드 팬츠,"부드러운 니트 소재로 착용감이 매우 편안하며, 와이드 핏이라 데일리로 입기 좋습니다. 그린과 네이비 스트라이프 패턴이 캐주얼한 포인트를 줍니다.",데일리 코지,그린 스트라이프,"S, M, L",69000,"봄, 가을"
기타하의_0012.jpg,투턱 울 와이드 팬츠,"도톰한 울 소재로 보온성이 뛰어나며, 전면의 투턱 주름이 넉넉하고 스타일리시한 실루엣을 만듭니다. 포멀하거나 미니멀한 룩에 잘 어울립니다.",모노크롬,차콜 그레이,"S, M",148000,"가을, 겨울"
기타하의_0013.jpg,스커트 레이어드 부츠컷 팬츠,"미니스커트와 부츠컷 팬츠가 결합된 유니크한 디자인입니다. 밑단의 플레어 핏이 다리를 길어 보이게 하며, 스커트 부분의 질감 디테일이 시크한 스타일을 연출합니다.",시크 아카이브,차콜,"S, M",115000,"봄, 가을"
기타하의_0014.jpg,로고 와이드 스웨트 팬츠,"베이직한 디자인의 와이드 스웨트 팬츠입니다. 탄탄한 면 소재로 착용감이 편안하며, 원마일웨어는 물론 데일리 캐주얼룩으로 활용하기 좋습니다. 작은 로고 패치가 미니멀한 포인트가 됩니다.",데일리 스탠다드,블랙,"S, M, L",58000,"봄, 가을, 겨울"
기타하의_0015.jpg,퀼팅 패딩 팬츠,"퀼팅 충전재가 들어간 패딩 팬츠로, 가벼우면서도 뛰어난 보온성을 제공합니다. 겨울철 캠핑이나 하이킹 등 아웃도어 활동에 최적화된 디자인이며, 물결무늬 퀼팅이 스타일리시합니다.",아웃도어 기어,올리브 그린,"M, L",139000,겨울
기타하의_0016.jpg,캐시미어 와이드 니트 팬츠,"부드러운 캐시미어 혼방 소재로 착용감이 매우 편안하고 따뜻합니다. 와이드 핏과 허리 스트링으로 편안한 라운지웨어로 적합하며, 고급스러운 데일리룩을 연출하기에도 좋습니다.",르 캐시미어,라이트 그레이,"S, M, L",198000,"가을, 겨울"
기타하의_0017.jpg,와이드 레더 팬츠,"광택감이 도는 인조 가죽 소재가 돋보이는 팬츠입니다. 바닥까지 내려오는 와이드 핏이 트렌디하며, 단번에 시크하고 힙한 스타일을 연출할 수 있는 아이템입니다.",글램 팩토리,브라운,"S, M",105000,"봄, 가을"
기타하의_0018.jpg,베이직 와이드 팬츠,"장식적인 요소를 배제한 미니멀한 디자인의 와이드 팬츠입니다. 허리 스트링이 없는 깔끔한 핏으로, 캐주얼룩은 물론 세미 포멀룩에도 쉽게 매치할 수 있는 기본 아이템입니다.",미니멀 스탠다드,블랙,"S, M, L",64000,"봄, 가을"
기타하의_0019.jpg,(2-way) 와이드 카고 팬츠,"매우 넓은 통의 파라슈트 팬츠 디자인입니다. 무릎 부분의 디테일과 커다란 카고 포켓이 특징이며, 테크웨어나 Y2K 스트릿 스타일을 연출하기 좋은 아이템입니다.",테크 앤드 펑크,블랙,"S, M, L",123000,"봄, 가을"
기타하의_0020.jpg,퍼티그 카고 팬츠,"클래식한 디자인의 올리브색 카고 팬츠입니다. 튼튼한 면 소재와 넉넉한 사이드 포켓으로 실용성이 높으며, 여유 있는 와이드 핏이 캐주얼룩이나 워크웨어룩에 두루 어울립니다.",어센틱 웨어,올리브,"M, L",88000,"봄, 가을, 겨울"
기타하의_0021.jpg,플리스 와이드 팬츠,"부드러운 플리스 소재로 제작되어 매우 따뜻하고 포근한 착용감을 제공합니다. 넉넉한 와이드 핏이라 활동하기 편하며, 겨울철 캐주얼룩이나 라운지웨어로 좋습니다.",엄브로,라이트 블루,"S, M, L",95000,겨울
기타하의_0022.jpg,위장 패턴 카고 팬츠,"독특한 위장 패턴이 돋보이는 카고 팬츠로, 스트릿 무드를 연출하기 좋습니다. 허리 스트링과 넉넉한 핏으로 편안하게 착용할 수 있으며, 힙한 스타일링에 활용하기 좋습니다.",와일드 어반,카모플라쥬,"M, L",88000,"봄, 가을"
기타하의_0023.jpg,벨벳 부츠컷 팬츠,부드러운 벨벳 소재로 제작되어 고급스러운 광택감과 포근한 착용감을 선사합니다. 다리 라인을 따라 자연스럽게 퍼지는 부츠컷 디자인이 세련된 실루엣을 연출합니다.,에르메스 로사,브라운,"S, M",98000,"가을, 겨울"
기타하의_0024.jpg,레이어드 스커트 와이드 팬츠,"스커트와 팬츠가 결합된 독특한 디자인의 와이드 팬츠입니다. 루즈한 핏과 드레이프 디테일이 스타일리시하며, 캐주얼하면서도 개성 있는 데일리룩을 완성합니다.",유니크 모드,차콜,"S, M, L",120000,"봄, 가을"
기타하의_0025.jpg,슬림핏 밴딩 팬츠,"깔끔한 디자인의 슬림핏 밴딩 팬츠로, 허리 밴딩이 편안한 착용감을 제공합니다. 군더더기 없는 실루엣이 활동성을 높여주며, 데일리룩이나 가벼운 운동 시 착용하기 좋습니다.",액티브 핏,블랙,"S, M, L",75000,사계절
기타하의_0026.jpg,아디다스 테렉스 카고 팬츠,"아디다스 테렉스 라인의 카고 팬츠로, 견고한 소재와 기능성 디자인이 아웃도어 활동에 최적화되어 있습니다. 넉넉한 포켓과 편안한 핏이 특징입니다.",아디다스 테렉스,블랙,"M, L",159000,사계절
기타하의_0027.jpg,퀼팅 패딩 팬츠 셋업,"퀼팅 디테일이 돋보이는 패딩 팬츠로, 뛰어난 보온성과 포근한 착용감을 제공합니다. 같은 디자인의 아우터와 셋업으로 연출하여 트렌디한 겨울 스타일을 완성할 수 있습니다.",웜 코지,베이지,"S, M",110000,겨울
